
            r               1s              2s
       19.6887617   0.2521157E-08  -0.3931136E-03
       19.9066925   0.2214490E-08  -0.3491680E-03
       20.1252858   0.1944205E-08  -0.3099606E-03
       20.3445333   0.1706113E-08  -0.2750031E-03
       20.5644264   0.1496488E-08  -0.2438544E-03
       20.7849570   0.1312023E-08  -0.2161169E-03
       21.0061169   0.1149779E-08  -0.1914322E-03
       21.2278982   0.1007152E-08  -0.1694776E-03
       21.4502929   0.8818316E-09  -0.1499629E-03
       21.6732933   0.7717714E-09  -0.1326271E-03
       21.8968918   0.6751597E-09  -0.1172359E-03
       22.1210809   0.5903935E-09  -0.1035789E-03
       22.3458531   0.5160551E-09  -0.9146765E-04
       22.5712012   0.4508918E-09  -0.8073312E-04
       22.7971180   0.3937973E-09  -0.7122405E-04
       23.0235964   0.3437948E-09  -0.6280512E-04
       23.2506295   0.3000228E-09  -0.5535531E-04
       23.4782104   0.2617218E-09  -0.4876656E-04
       23.7063324   0.2282223E-09  -0.4294237E-04
       23.9349888   0.1989350E-09  -0.3779666E-04
       24.1641732   0.1733409E-09  -0.3325269E-04
       24.3938790   0.1509837E-09  -0.2924210E-04
       24.6240999   0.1314618E-09  -0.2570403E-04
       24.8548298   0.1144228E-09  -0.2258432E-04
       25.0860623   0.9955658E-10  -0.1983482E-04
       25.3177916   0.8659132E-10  -0.1741276E-04
       25.5500115   0.7528830E-10  -0.1528013E-04
       25.7827163   0.6543819E-10  -0.1340322E-04
       26.0159002   0.5685746E-10  -0.1175212E-04
       26.2495575   0.4938528E-10  -0.1030032E-04
       26.4836826   0.4288077E-10  -0.9024331E-05
       26.7182700   0.3722055E-10  -0.7903360E-05
       26.9533141   0.3229658E-10  -0.6919006E-05
       27.1888098   0.2801423E-10  -0.6054994E-05
       27.4247516   0.2429053E-10  -0.5296939E-05
       27.6611345   0.2105255E-10  -0.4632132E-05
       27.8979533   0.1823591E-10  -0.4049352E-05
       28.1352029   0.1578324E-10  -0.3538699E-05
       28.3728785   0.1364243E-10  -0.3091437E-05
       28.6109750   0.1176463E-10  -0.2699868E-05
       28.8494878   0.1010142E-10  -0.2357210E-05
       29.0884120   0.8600679E-11  -0.2057490E-05
       29.3277431   0.7200069E-11  -0.1795450E-05
       29.5674763   0.5816385E-11  -0.1566468E-05
       29.8076072   0.4327772E-11  -0.1366479E-05
       30.0481313   0.2543639E-11  -0.1191914E-05
       30.2890441   0.0000000E+00   0.0000000E+00
