
            r               1s              2s
        0.0000512   0.4737476E-03   0.7345004E-04
        0.0000532   0.4930681E-03   0.7644550E-04
        0.0000554   0.5131760E-03   0.7956303E-04
        0.0000577   0.5341032E-03   0.8280760E-04
        0.0000600   0.5558832E-03   0.8618438E-04
        0.0000625   0.5785507E-03   0.8969874E-04
        0.0000650   0.6021416E-03   0.9335630E-04
        0.0000677   0.6266937E-03   0.9716285E-04
        0.0000704   0.6522459E-03   0.1011245E-03
        0.0000733   0.6788389E-03   0.1052475E-03
        0.0000763   0.7065151E-03   0.1095384E-03
        0.0000794   0.7353185E-03   0.1140041E-03
        0.0000827   0.7652949E-03   0.1186516E-03
        0.0000860   0.7964919E-03   0.1234884E-03
        0.0000895   0.8289592E-03   0.1285222E-03
        0.0000932   0.8627483E-03   0.1337609E-03
        0.0000970   0.8979129E-03   0.1392128E-03
        0.0001009   0.9345089E-03   0.1448867E-03
        0.0001051   0.9725943E-03   0.1507914E-03
        0.0001093   0.1012230E-02   0.1569365E-03
        0.0001138   0.1053478E-02   0.1633317E-03
        0.0001184   0.1096404E-02   0.1699870E-03
        0.0001233   0.1141077E-02   0.1769131E-03
        0.0001283   0.1187567E-02   0.1841209E-03
        0.0001335   0.1235948E-02   0.1916219E-03
        0.0001389   0.1286296E-02   0.1994279E-03
        0.0001446   0.1338691E-02   0.2075512E-03
        0.0001505   0.1393216E-02   0.2160048E-03
        0.0001566   0.1449958E-02   0.2248021E-03
        0.0001630   0.1509005E-02   0.2339568E-03
        0.0001697   0.1570452E-02   0.2434835E-03
        0.0001766   0.1634395E-02   0.2533973E-03
        0.0001838   0.1700935E-02   0.2637137E-03
        0.0001912   0.1770177E-02   0.2744491E-03
        0.0001990   0.1842231E-02   0.2856203E-03
        0.0002071   0.1917210E-02   0.2972451E-03
        0.0002156   0.1995232E-02   0.3093416E-03
        0.0002244   0.2076420E-02   0.3219290E-03
        0.0002335   0.2160901E-02   0.3350269E-03
        0.0002430   0.2248808E-02   0.3486561E-03
        0.0002529   0.2340279E-02   0.3628379E-03
        0.0002632   0.2435459E-02   0.3775946E-03
        0.0002739   0.2534495E-02   0.3929492E-03
        0.0002850   0.2637544E-02   0.4089259E-03
        0.0002966   0.2744766E-02   0.4255497E-03
        0.0003087   0.2856329E-02   0.4428465E-03
        0.0003213   0.2972408E-02   0.4608434E-03
        0.0003343   0.3093183E-02   0.4795685E-03
        0.0003479   0.3218844E-02   0.4990509E-03
        0.0003621   0.3349585E-02   0.5193211E-03
        0.0003768   0.3485610E-02   0.5404105E-03
        0.0003921   0.3627131E-02   0.5623519E-03
        0.0004080   0.3774367E-02   0.5851795E-03
        0.0004246   0.3927547E-02   0.6089285E-03
        0.0004419   0.4086907E-02   0.6336357E-03
        0.0004598   0.4252694E-02   0.6593395E-03
        0.0004785   0.4425165E-02   0.6860793E-03
        0.0004979   0.4604584E-02   0.7138966E-03
        0.0005181   0.4791228E-02   0.7428340E-03
        0.0005392   0.4985385E-02   0.7729361E-03
        0.0005611   0.5187352E-02   0.8042491E-03
        0.0005838   0.5397438E-02   0.8368210E-03
        0.0006075   0.5615965E-02   0.8707015E-03
        0.0006321   0.5843266E-02   0.9059423E-03
        0.0006578   0.6079688E-02   0.9425972E-03
        0.0006844   0.6325590E-02   0.9807220E-03
        0.0007122   0.6581345E-02   0.1020374E-02
        0.0007410   0.6847341E-02   0.1061614E-02
        0.0007710   0.7123978E-02   0.1104504E-02
        0.0008022   0.7411675E-02   0.1149109E-02
        0.0008347   0.7710863E-02   0.1195495E-02
        0.0008685   0.8021992E-02   0.1243733E-02
        0.0009036   0.8345526E-02   0.1293893E-02
        0.0009401   0.8681948E-02   0.1346052E-02
        0.0009781   0.9031758E-02   0.1400287E-02
        0.0010176   0.9395475E-02   0.1456678E-02
        0.0010587   0.9773638E-02   0.1515308E-02
        0.0011014   0.1016680E-01   0.1576264E-02
        0.0011458   0.1057554E-01   0.1639636E-02
        0.0011921   0.1100046E-01   0.1705515E-02
        0.0012401   0.1144218E-01   0.1773999E-02
        0.0012901   0.1190134E-01   0.1845187E-02
        0.0013420   0.1237859E-01   0.1919181E-02
        0.0013960   0.1287464E-01   0.1996088E-02
        0.0014521   0.1339019E-01   0.2076019E-02
        0.0015105   0.1392598E-01   0.2159087E-02
        0.0015712   0.1448277E-01   0.2245411E-02
        0.0016343   0.1506134E-01   0.2335113E-02
        0.0016998   0.1566252E-01   0.2428320E-02
        0.0017680   0.1628714E-01   0.2525160E-02
        0.0018388   0.1693607E-01   0.2625771E-02
        0.0019124   0.1761022E-01   0.2730290E-02
        0.0019889   0.1831051E-01   0.2838862E-02
        0.0020684   0.1903789E-01   0.2951636E-02
        0.0021511   0.1979337E-01   0.3068764E-02
        0.0022369   0.2057795E-01   0.3190405E-02
        0.0023261   0.2139269E-01   0.3316722E-02
        0.0024188   0.2223868E-01   0.3447883E-02
        0.0025150   0.2311703E-01   0.3584062E-02
        0.0026150   0.2402890E-01   0.3725437E-02
        0.0027189   0.2497548E-01   0.3872193E-02
        0.0028267   0.2595797E-01   0.4024517E-02
        0.0029388   0.2697765E-01   0.4182606E-02
        0.0030551   0.2803580E-01   0.4346660E-02
        0.0031759   0.2913375E-01   0.4516884E-02
        0.0033013   0.3027287E-01   0.4693490E-02
        0.0034315   0.3145455E-01   0.4876695E-02
        0.0035667   0.3268024E-01   0.5066722E-02
        0.0037070   0.3395141E-01   0.5263801E-02
        0.0038526   0.3526957E-01   0.5468164E-02
        0.0040037   0.3663628E-01   0.5680053E-02
        0.0041604   0.3805311E-01   0.5899714E-02
        0.0043231   0.3952170E-01   0.6127398E-02
        0.0044919   0.4104370E-01   0.6363362E-02
        0.0046669   0.4262082E-01   0.6607869E-02
        0.0048485   0.4425477E-01   0.6861188E-02
        0.0050368   0.4594733E-01   0.7123593E-02
        0.0052320   0.4770031E-01   0.7395363E-02
        0.0054344   0.4951552E-01   0.7676781E-02
        0.0056442   0.5139486E-01   0.7968138E-02
        0.0058616   0.5334020E-01   0.8269729E-02
        0.0060870   0.5535349E-01   0.8581851E-02
        0.0063205   0.5743668E-01   0.8904808E-02
        0.0065624   0.5959176E-01   0.9238909E-02
        0.0068130   0.6182074E-01   0.9584464E-02
        0.0070725   0.6412565E-01   0.9941789E-02
        0.0073412   0.6650856E-01   0.1031120E-01
        0.0076194   0.6897153E-01   0.1069303E-01
        0.0079074   0.7151667E-01   0.1108759E-01
        0.0082054   0.7414608E-01   0.1149521E-01
        0.0085138   0.7686188E-01   0.1191621E-01
        0.0088329   0.7966621E-01   0.1235094E-01
        0.0091629   0.8256120E-01   0.1279972E-01
        0.0095042   0.8554900E-01   0.1326288E-01
        0.0098571   0.8863173E-01   0.1374075E-01
        0.0102219   0.9181154E-01   0.1423366E-01
        0.0105989   0.9509055E-01   0.1474195E-01
        0.0109885   0.9847089E-01   0.1526593E-01
        0.0113910   0.1019547E+00   0.1580594E-01
        0.0118067   0.1055439E+00   0.1636229E-01
        0.0122359   0.1092408E+00   0.1693531E-01
        0.0126791   0.1130473E+00   0.1752531E-01
        0.0131365   0.1169654E+00   0.1813260E-01
        0.0136085   0.1209971E+00   0.1875748E-01
        0.0140954   0.1251443E+00   0.1940025E-01
        0.0145977   0.1294090E+00   0.2006121E-01
        0.0151156   0.1337929E+00   0.2074063E-01
        0.0156495   0.1382980E+00   0.2143880E-01
        0.0161998   0.1429258E+00   0.2215598E-01
        0.0167669   0.1476781E+00   0.2289243E-01
        0.0173510   0.1525565E+00   0.2364840E-01
        0.0179526   0.1575627E+00   0.2442412E-01
        0.0185721   0.1626980E+00   0.2521983E-01
        0.0192098   0.1679639E+00   0.2603574E-01
        0.0198660   0.1733618E+00   0.2687206E-01
        0.0205412   0.1788930E+00   0.2772898E-01
        0.0212358   0.1845585E+00   0.2860669E-01
        0.0219500   0.1903597E+00   0.2950534E-01
        0.0226843   0.1962974E+00   0.3042511E-01
        0.0234392   0.2023727E+00   0.3136612E-01
        0.0242148   0.2085865E+00   0.3232851E-01
        0.0250117   0.2149395E+00   0.3331240E-01
        0.0258303   0.2214325E+00   0.3431789E-01
        0.0266709   0.2280661E+00   0.3534507E-01
        0.0275339   0.2348409E+00   0.3639402E-01
        0.0284198   0.2417573E+00   0.3746479E-01
        0.0293289   0.2488157E+00   0.3855746E-01
        0.0302617   0.2560166E+00   0.3967204E-01
        0.0312185   0.2633600E+00   0.4080857E-01
        0.0321999   0.2708463E+00   0.4196707E-01
        0.0332063   0.2784755E+00   0.4314753E-01
        0.0342381   0.2862477E+00   0.4434996E-01
        0.0352957   0.2941628E+00   0.4557432E-01
        0.0363797   0.3022208E+00   0.4682060E-01
        0.0374906   0.3104216E+00   0.4808875E-01
        0.0386287   0.3187649E+00   0.4937873E-01
        0.0397948   0.3272506E+00   0.5069047E-01
        0.0409892   0.3358783E+00   0.5202391E-01
        0.0422125   0.3446478E+00   0.5337898E-01
        0.0434654   0.3535587E+00   0.5475560E-01
        0.0447483   0.3626105E+00   0.5615367E-01
        0.0460620   0.3718029E+00   0.5757310E-01
        0.0474071   0.3811354E+00   0.5901377E-01
        0.0487841   0.3906075E+00   0.6047559E-01
        0.0501939   0.4002187E+00   0.6195844E-01
        0.0516371   0.4099684E+00   0.6346218E-01
        0.0531145   0.4198560E+00   0.6498668E-01
        0.0546270   0.4298810E+00   0.6653181E-01
        0.0561752   0.4400426E+00   0.6809741E-01
        0.0577601   0.4503403E+00   0.6968334E-01
        0.0593827   0.4607733E+00   0.7128942E-01
        0.0610438   0.4713410E+00   0.7291549E-01
        0.0627444   0.4820424E+00   0.7456135E-01
        0.0644856   0.4928768E+00   0.7622680E-01
        0.0662685   0.5038434E+00   0.7791165E-01
        0.0680943   0.5149412E+00   0.7961567E-01
        0.0699640   0.5261692E+00   0.8133861E-01
        0.0718791   0.5375264E+00   0.8308021E-01
        0.0738407   0.5490115E+00   0.8484021E-01
        0.0758504   0.5606234E+00   0.8661828E-01
        0.0779095   0.5723606E+00   0.8841412E-01
        0.0800195   0.5842217E+00   0.9022737E-01
        0.0821821   0.5962051E+00   0.9205764E-01
        0.0843989   0.6083089E+00   0.9390450E-01
        0.0866717   0.6205313E+00   0.9576751E-01
        0.0890023   0.6328700E+00   0.9764616E-01
        0.0913926   0.6453227E+00   0.9953990E-01
        0.0938446   0.6578868E+00   0.1014481E+00
        0.0963604   0.6705594E+00   0.1033702E+00
        0.0989423   0.6833372E+00   0.1053054E+00
        0.1015924   0.6962169E+00   0.1072529E+00
        0.1043133   0.7091944E+00   0.1092119E+00
        0.1071074   0.7222657E+00   0.1111815E+00
        0.1099773   0.7354261E+00   0.1131605E+00
        0.1129259   0.7486703E+00   0.1151480E+00
        0.1159559   0.7619928E+00   0.1171426E+00
        0.1190704   0.7753875E+00   0.1191430E+00
        0.1222725   0.7888477E+00   0.1211478E+00
        0.1255654   0.8023658E+00   0.1231554E+00
        0.1289527   0.8159341E+00   0.1251640E+00
        0.1324378   0.8295437E+00   0.1271718E+00
        0.1360245   0.8431852E+00   0.1291768E+00
        0.1397166   0.8568482E+00   0.1311767E+00
        0.1435182   0.8705216E+00   0.1331692E+00
        0.1474335   0.8841934E+00   0.1351516E+00
        0.1514669   0.8978505E+00   0.1371212E+00
        0.1556230   0.9114788E+00   0.1390750E+00
        0.1599065   0.9250633E+00   0.1410098E+00
        0.1643224   0.9385877E+00   0.1429220E+00
        0.1688759   0.9520346E+00   0.1448078E+00
        0.1735723   0.9653855E+00   0.1466634E+00
        0.1784173   0.9786203E+00   0.1484844E+00
        0.1834167   0.9917180E+00   0.1502662E+00
        0.1885765   0.1004656E+01   0.1520038E+00
        0.1939031   0.1017410E+01   0.1536920E+00
        0.1994029   0.1029956E+01   0.1553253E+00
        0.2050827   0.1042265E+01   0.1568977E+00
        0.2109497   0.1054310E+01   0.1584029E+00
        0.2170111   0.1066062E+01   0.1598342E+00
        0.2232745   0.1077489E+01   0.1611847E+00
        0.2297478   0.1088558E+01   0.1624467E+00
        0.2364392   0.1099236E+01   0.1636125E+00
        0.2433571   0.1109486E+01   0.1646737E+00
        0.2505104   0.1119272E+01   0.1656218E+00
        0.2579080   0.1128557E+01   0.1664476E+00
        0.2655595   0.1137299E+01   0.1671416E+00
        0.2734746   0.1145460E+01   0.1676938E+00
        0.2816633   0.1152997E+01   0.1680940E+00
        0.2901361   0.1159869E+01   0.1683313E+00
        0.2989037   0.1166032E+01   0.1683946E+00
        0.3079773   0.1171442E+01   0.1682725E+00
        0.3173684   0.1176056E+01   0.1679529E+00
        0.3270888   0.1179829E+01   0.1674237E+00
