        Distance           1s              1s              2s              2s
      0.188311E-04    0.105776E-03    0.105763E-03    0.163995E-04    0.163941E-04
      0.195996E-04    0.110093E-03    0.110080E-03    0.170688E-04    0.170632E-04
      0.203994E-04    0.114585E-03    0.114572E-03    0.177654E-04    0.177595E-04
      0.212320E-04    0.119262E-03    0.119248E-03    0.184904E-04    0.184843E-04
      0.220985E-04    0.124129E-03    0.124114E-03    0.192450E-04    0.192386E-04
      0.230003E-04    0.129194E-03    0.129179E-03    0.200304E-04    0.200237E-04
      0.239390E-04    0.134467E-03    0.134451E-03    0.208478E-04    0.208409E-04
      0.249159E-04    0.139954E-03    0.139938E-03    0.216986E-04    0.216914E-04
      0.259328E-04    0.145666E-03    0.145648E-03    0.225841E-04    0.225766E-04
      0.269911E-04    0.151610E-03    0.151592E-03    0.235057E-04    0.234979E-04
      0.280926E-04    0.157797E-03    0.157779E-03    0.244650E-04    0.244569E-04
      0.292391E-04    0.164237E-03    0.164218E-03    0.254634E-04    0.254549E-04
      0.304324E-04    0.170939E-03    0.170919E-03    0.265025E-04    0.264937E-04
      0.316743E-04    0.177915E-03    0.177894E-03    0.275841E-04    0.275749E-04
      0.329670E-04    0.185176E-03    0.185154E-03    0.287097E-04    0.287002E-04
      0.343124E-04    0.192733E-03    0.192710E-03    0.298814E-04    0.298715E-04
      0.357127E-04    0.200598E-03    0.200574E-03    0.311008E-04    0.310905E-04
      0.371701E-04    0.208784E-03    0.208759E-03    0.323700E-04    0.323593E-04
      0.386871E-04    0.217304E-03    0.217279E-03    0.336910E-04    0.336798E-04
      0.402659E-04    0.226172E-03    0.226145E-03    0.350658E-04    0.350542E-04
      0.419092E-04    0.235402E-03    0.235374E-03    0.364968E-04    0.364848E-04
      0.436195E-04    0.245008E-03    0.244979E-03    0.379862E-04    0.379737E-04
      0.453997E-04    0.255007E-03    0.254977E-03    0.395364E-04    0.395233E-04
      0.472524E-04    0.265413E-03    0.265382E-03    0.411498E-04    0.411362E-04
      0.491808E-04    0.276244E-03    0.276212E-03    0.428290E-04    0.428149E-04
      0.511879E-04    0.287517E-03    0.287483E-03    0.445768E-04    0.445621E-04
      0.532769E-04    0.299250E-03    0.299215E-03    0.463959E-04    0.463806E-04
      0.554512E-04    0.311462E-03    0.311425E-03    0.482892E-04    0.482733E-04
      0.577142E-04    0.324172E-03    0.324134E-03    0.502598E-04    0.502432E-04
      0.600695E-04    0.337401E-03    0.337361E-03    0.523108E-04    0.522935E-04
      0.625210E-04    0.351170E-03    0.351128E-03    0.544455E-04    0.544275E-04
      0.650725E-04    0.365500E-03    0.365457E-03    0.566673E-04    0.566486E-04
      0.677281E-04    0.380415E-03    0.380370E-03    0.589797E-04    0.589602E-04
      0.704921E-04    0.395939E-03    0.395892E-03    0.613865E-04    0.613662E-04
      0.733689E-04    0.412096E-03    0.412047E-03    0.638915E-04    0.638704E-04
      0.763632E-04    0.428912E-03    0.428861E-03    0.664987E-04    0.664768E-04
      0.794796E-04    0.446415E-03    0.446362E-03    0.692123E-04    0.691895E-04
      0.827232E-04    0.464631E-03    0.464576E-03    0.720366E-04    0.720129E-04
      0.860991E-04    0.483591E-03    0.483534E-03    0.749762E-04    0.749515E-04
      0.896128E-04    0.503325E-03    0.503265E-03    0.780357E-04    0.780100E-04
      0.932700E-04    0.523864E-03    0.523802E-03    0.812200E-04    0.811932E-04
      0.970763E-04    0.545240E-03    0.545176E-03    0.845343E-04    0.845064E-04
      0.101038E-03    0.567489E-03    0.567422E-03    0.879838E-04    0.879548E-04
      0.105161E-03    0.590646E-03    0.590576E-03    0.915740E-04    0.915438E-04
      0.109453E-03    0.614747E-03    0.614675E-03    0.953107E-04    0.952793E-04
      0.113920E-03    0.639832E-03    0.639757E-03    0.991998E-04    0.991671E-04
      0.118569E-03    0.665940E-03    0.665862E-03    0.103248E-03    0.103214E-03
      0.123408E-03    0.693114E-03    0.693032E-03    0.107461E-03    0.107425E-03
      0.128444E-03    0.721396E-03    0.721311E-03    0.111846E-03    0.111809E-03
      0.133686E-03    0.750832E-03    0.750743E-03    0.116409E-03    0.116371E-03
      0.139142E-03    0.781468E-03    0.781376E-03    0.121159E-03    0.121119E-03
      0.144820E-03    0.813355E-03    0.813259E-03    0.126103E-03    0.126061E-03
      0.150730E-03    0.846542E-03    0.846443E-03    0.131248E-03    0.131205E-03
      0.156881E-03    0.881084E-03    0.880980E-03    0.136604E-03    0.136559E-03
      0.163284E-03    0.917034E-03    0.916926E-03    0.142177E-03    0.142131E-03
      0.169947E-03    0.954451E-03    0.954339E-03    0.147979E-03    0.147930E-03
      0.176883E-03    0.993395E-03    0.993278E-03    0.154016E-03    0.153966E-03
      0.184101E-03    0.103393E-02    0.103380E-02    0.160300E-03    0.160248E-03
      0.191614E-03    0.107611E-02    0.107599E-02    0.166841E-03    0.166786E-03
      0.199434E-03    0.112002E-02    0.111989E-02    0.173648E-03    0.173591E-03
      0.207573E-03    0.116572E-02    0.116558E-02    0.180733E-03    0.180674E-03
      0.216044E-03    0.121328E-02    0.121313E-02    0.188107E-03    0.188045E-03
      0.224861E-03    0.126278E-02    0.126263E-02    0.195782E-03    0.195717E-03
      0.234037E-03    0.131430E-02    0.131414E-02    0.203769E-03    0.203702E-03
      0.243588E-03    0.136792E-02    0.136776E-02    0.212083E-03    0.212013E-03
      0.253529E-03    0.142373E-02    0.142356E-02    0.220735E-03    0.220663E-03
      0.263875E-03    0.148181E-02    0.148164E-02    0.229741E-03    0.229665E-03
      0.274644E-03    0.154226E-02    0.154208E-02    0.239113E-03    0.239035E-03
      0.285852E-03    0.160518E-02    0.160500E-02    0.248868E-03    0.248787E-03
      0.297517E-03    0.167067E-02    0.167047E-02    0.259021E-03    0.258936E-03
      0.309658E-03    0.173882E-02    0.173862E-02    0.269588E-03    0.269500E-03
      0.322295E-03    0.180976E-02    0.180955E-02    0.280586E-03    0.280494E-03
      0.335448E-03    0.188358E-02    0.188336E-02    0.292032E-03    0.291936E-03
      0.349137E-03    0.196042E-02    0.196019E-02    0.303945E-03    0.303846E-03
      0.363385E-03    0.204039E-02    0.204015E-02    0.316343E-03    0.316240E-03
      0.378214E-03    0.212362E-02    0.212338E-02    0.329248E-03    0.329140E-03
      0.393648E-03    0.221025E-02    0.220999E-02    0.342678E-03    0.342566E-03
      0.409713E-03    0.230040E-02    0.230014E-02    0.356656E-03    0.356540E-03
      0.426432E-03    0.239424E-02    0.239396E-02    0.371203E-03    0.371083E-03
      0.443834E-03    0.249189E-02    0.249160E-02    0.386344E-03    0.386219E-03
      0.461947E-03    0.259353E-02    0.259323E-02    0.402102E-03    0.401972E-03
      0.480798E-03    0.269931E-02    0.269900E-02    0.418503E-03    0.418367E-03
      0.500418E-03    0.280941E-02    0.280908E-02    0.435571E-03    0.435430E-03
      0.520839E-03    0.292399E-02    0.292365E-02    0.453336E-03    0.453189E-03
      0.542094E-03    0.304324E-02    0.304288E-02    0.471825E-03    0.471672E-03
      0.564215E-03    0.316735E-02    0.316698E-02    0.491067E-03    0.490908E-03
      0.587239E-03    0.329651E-02    0.329613E-02    0.511093E-03    0.510928E-03
