        Distance           1s              1s              2s              2s
      0.640773E+00    0.209573E+01    0.209537E+01    0.322471E+00    0.322468E+00
      0.664799E+00    0.214067E+01    0.214090E+01    0.329242E+00    0.329241E+00
      0.689650E+00    0.218563E+01    0.218570E+01    0.336001E+00    0.336004E+00
      0.715350E+00    0.223057E+01    0.223055E+01    0.342740E+00    0.342740E+00
      0.741922E+00    0.227542E+01    0.227539E+01    0.349448E+00    0.349430E+00
      0.769389E+00    0.232012E+01    0.232013E+01    0.356116E+00    0.356141E+00
      0.797776E+00    0.236463E+01    0.236465E+01    0.362733E+00    0.362741E+00
      0.827107E+00    0.240887E+01    0.240885E+01    0.369288E+00    0.369290E+00
      0.857405E+00    0.245278E+01    0.245256E+01    0.375768E+00    0.375773E+00
      0.888697E+00    0.249630E+01    0.249645E+01    0.382163E+00    0.382169E+00
      0.921005E+00    0.253935E+01    0.253939E+01    0.388460E+00    0.388457E+00
      0.954357E+00    0.258186E+01    0.258188E+01    0.394645E+00    0.394610E+00
      0.988776E+00    0.262376E+01    0.262380E+01    0.400706E+00    0.400713E+00
      0.102429E+01    0.266498E+01    0.266501E+01    0.406627E+00    0.406631E+00
      0.106092E+01    0.270543E+01    0.270535E+01    0.412396E+00    0.412400E+00
      0.109869E+01    0.274503E+01    0.274521E+01    0.417996E+00    0.417995E+00
      0.113763E+01    0.278371E+01    0.278376E+01    0.423412E+00    0.423388E+00
      0.117777E+01    0.282137E+01    0.282140E+01    0.428629E+00    0.428634E+00
      0.121912E+01    0.285793E+01    0.285796E+01    0.433629E+00    0.433629E+00
      0.126172E+01    0.289331E+01    0.289329E+01    0.438397E+00    0.438400E+00
      0.130558E+01    0.292740E+01    0.292720E+01    0.442914E+00    0.442917E+00
      0.135074E+01    0.296012E+01    0.296013E+01    0.447162E+00    0.447182E+00
      0.139721E+01    0.299138E+01    0.299140E+01    0.451123E+00    0.451125E+00
      0.144503E+01    0.302108E+01    0.302113E+01    0.454779E+00    0.454780E+00
      0.149422E+01    0.304912E+01    0.304911E+01    0.458109E+00    0.458117E+00
      0.154479E+01    0.307541E+01    0.307558E+01    0.461095E+00    0.461100E+00
      0.159677E+01    0.309986E+01    0.309988E+01    0.463717E+00    0.463722E+00
      0.165019E+01    0.312236E+01    0.312236E+01    0.465953E+00    0.465958E+00
      0.170507E+01    0.314282E+01    0.314287E+01    0.467783E+00    0.467771E+00
      0.176142E+01    0.316114E+01    0.316129E+01    0.469186E+00    0.469186E+00
      0.181928E+01    0.317722E+01    0.317724E+01    0.470142E+00    0.470148E+00
      0.187865E+01    0.319097E+01    0.319099E+01    0.470628E+00    0.470620E+00
      0.193957E+01    0.320231E+01    0.320236E+01    0.470622E+00    0.470625E+00
      0.200205E+01    0.321113E+01    0.321111E+01    0.470104E+00    0.470105E+00
      0.206611E+01    0.321734E+01    0.321740E+01    0.469052E+00    0.469058E+00
      0.213176E+01    0.322087E+01    0.322087E+01    0.467444E+00    0.467451E+00
      0.219903E+01    0.322163E+01    0.322161E+01    0.465258E+00    0.465248E+00
      0.226793E+01    0.321955E+01    0.321955E+01    0.462474E+00    0.462504E+00
      0.233848E+01    0.321455E+01    0.321461E+01    0.459071E+00    0.459076E+00
      0.241069E+01    0.320656E+01    0.320658E+01    0.455027E+00    0.455027E+00
      0.248458E+01    0.319553E+01    0.319526E+01    0.450324E+00    0.450329E+00
      0.256015E+01    0.318140E+01    0.318139E+01    0.444942E+00    0.444950E+00
      0.263743E+01    0.316412E+01    0.316419E+01    0.438861E+00    0.438870E+00
      0.271643E+01    0.314367E+01    0.314370E+01    0.432065E+00    0.432069E+00
      0.279715E+01    0.312000E+01    0.311973E+01    0.424537E+00    0.424540E+00
      0.287960E+01    0.309310E+01    0.309309E+01    0.416261E+00    0.416257E+00
      0.296380E+01    0.306296E+01    0.306304E+01    0.407222E+00    0.407222E+00
      0.304975E+01    0.302958E+01    0.302956E+01    0.397407E+00    0.397409E+00
      0.313746E+01    0.299298E+01    0.299298E+01    0.386804E+00    0.386808E+00
      0.322694E+01    0.295318E+01    0.295320E+01    0.375404E+00    0.375398E+00
      0.331819E+01    0.291022E+01    0.291031E+01    0.363198E+00    0.363207E+00
      0.341121E+01    0.286415E+01    0.286417E+01    0.350178E+00    0.350179E+00
      0.350601E+01    0.281503E+01    0.281515E+01    0.336342E+00    0.336345E+00
      0.360260E+01    0.276294E+01    0.276295E+01    0.321686E+00    0.321695E+00
      0.370096E+01    0.270798E+01    0.270815E+01    0.306209E+00    0.306212E+00
      0.380112E+01    0.265025E+01    0.265021E+01    0.289914E+00    0.289915E+00
      0.390306E+01    0.258987E+01    0.259001E+01    0.272806E+00    0.272810E+00
      0.400678E+01    0.252698E+01    0.252684E+01    0.254891E+00    0.254890E+00
      0.411229E+01    0.246171E+01    0.246198E+01    0.236179E+00    0.236181E+00
      0.421957E+01    0.239424E+01    0.239424E+01    0.216682E+00    0.216680E+00
      0.432864E+01    0.232473E+01    0.232499E+01    0.196415E+00    0.196420E+00
      0.443947E+01    0.225337E+01    0.225336E+01    0.175396E+00    0.175396E+00
      0.455208E+01    0.218036E+01    0.218052E+01    0.153646E+00    0.153648E+00
      0.466645E+01    0.210589E+01    0.210602E+01    0.131189E+00    0.131189E+00
      0.478258E+01    0.203020E+01    0.202970E+01    0.108052E+00    0.108045E+00
      0.490045E+01    0.195350E+01    0.195347E+01    0.842639E-01    0.842458E-01
      0.502007E+01    0.187602E+01    0.187626E+01    0.598580E-01    0.598290E-01
      0.514143E+01    0.179800E+01    0.179794E+01    0.348702E-01    0.348387E-01
      0.526451E+01    0.171968E+01    0.171966E+01    0.933929E-02    0.932646E-02
      0.538931E+01    0.164130E+01    0.164136E+01   -0.166929E-01   -0.166475E-01
      0.551582E+01    0.156311E+01    0.156338E+01   -0.431815E-01   -0.430139E-01
      0.564403E+01    0.148534E+01    0.148539E+01   -0.700788E-01   -0.696936E-01
      0.577392E+01    0.140823E+01    0.140867E+01   -0.973342E-01   -0.965971E-01
      0.590548E+01    0.133202E+01    0.133202E+01   -0.124894E+00   -0.123624E+00
      0.603872E+01    0.125694E+01    0.125736E+01   -0.152704E+00   -0.150662E+00
      0.617360E+01    0.118319E+01    0.118303E+01   -0.180703E+00   -0.177586E+00
      0.631012E+01    0.111099E+01    0.111134E+01   -0.208832E+00   -0.204263E+00
      0.644827E+01    0.104053E+01    0.104049E+01   -0.237026E+00   -0.230544E+00
      0.658803E+01    0.972000E+00    0.972356E+00   -0.265222E+00   -0.256271E+00
      0.672939E+01    0.905560E+00    0.905562E+00   -0.293351E+00   -0.281275E+00
      0.687234E+01    0.841363E+00    0.841727E+00   -0.321345E+00   -0.305378E+00
      0.701686E+01    0.779543E+00    0.779584E+00   -0.349133E+00   -0.328394E+00
      0.716293E+01    0.720214E+00    0.720590E+00   -0.376643E+00   -0.350132E+00
      0.731055E+01    0.663474E+00    0.663516E+00   -0.403804E+00   -0.370398E+00
      0.745970E+01    0.609398E+00    0.610525E+00   -0.430541E+00   -0.388996E+00
      0.761036E+01    0.558046E+00    0.558099E+00   -0.456781E+00   -0.405735E+00
      0.776252E+01    0.509455E+00    0.509855E+00   -0.482451E+00   -0.420430E+00
      0.791617E+01    0.463644E+00    0.463388E+00   -0.507476E+00   -0.432907E+00
      0.807128E+01    0.420613E+00    0.420971E+00   -0.531786E+00   -0.443008E+00
      0.822784E+01    0.380344E+00    0.380046E+00   -0.555307E+00   -0.450594E+00
      0.838584E+01    0.342803E+00    0.343327E+00   -0.577970E+00   -0.455552E+00
      0.854526E+01    0.307938E+00    0.307939E+00   -0.599707E+00   -0.457796E+00
      0.870609E+01    0.275683E+00    0.276186E+00   -0.620452E+00   -0.457275E+00
      0.886831E+01    0.245961E+00    0.245950E+00   -0.640142E+00   -0.453973E+00
      0.903190E+01    0.218681E+00    0.218932E+00   -0.658716E+00   -0.447916E+00
      0.919685E+01    0.193742E+00    0.193484E+00   -0.676120E+00   -0.439170E+00
      0.936314E+01    0.171035E+00    0.171582E+00   -0.692300E+00   -0.427845E+00
      0.953076E+01    0.150445E+00    0.150459E+00   -0.707207E+00   -0.414092E+00
      0.969969E+01    0.131851E+00    0.132065E+00   -0.720800E+00   -0.398107E+00
      0.986992E+01    0.115129E+00    0.115200E+00   -0.733039E+00   -0.380120E+00
      0.100414E+02    0.100154E+00    0.100313E+00   -0.743891E+00   -0.360398E+00
      0.102142E+02    0.868001E-01    0.868518E-01   -0.753329E+00   -0.339236E+00
      0.103882E+02    0.749417E-01    0.750379E-01   -0.761332E+00   -0.316950E+00
      0.105635E+02    0.644565E-01    0.644609E-01   -0.767883E+00   -0.293871E+00
      0.107400E+02    0.552253E-01    0.553201E-01   -0.772975E+00   -0.270336E+00
      0.109176E+02    0.471332E-01    0.472055E-01   -0.776603E+00   -0.246679E+00
      0.110965E+02    0.400704E-01    0.867412E-01   -0.778772E+00   -0.223223E+00
      0.112765E+02    0.339328E-01    0.551203E-01   -0.779492E+00   -0.200271E+00
      0.114577E+02    0.286226E-01    0.368637E-01   -0.778778E+00   -0.178098E+00
      0.116401E+02    0.240483E-01    0.262923E-01   -0.776654E+00   -0.156945E+00
      0.118235E+02    0.201253E-01    0.200021E-01   -0.773147E+00   -0.137017E+00
      0.120081E+02    0.167756E-01    0.160222E-01   -0.768293E+00   -0.118471E+00
      0.121938E+02    0.139281E-01    0.132588E-01   -0.762132E+00   -0.101426E+00
      0.123806E+02    0.115181E-01    0.111363E-01   -0.754708E+00   -0.859524E-01
      0.125684E+02    0.948749E-02    0.937191E-02   -0.746072E+00   -0.720799E-01
      0.127573E+02    0.778400E-02    0.783937E-02   -0.736280E+00   -0.597984E-01
      0.129473E+02    0.636125E-02    0.648909E-02   -0.725391E+00   -0.490632E-01
      0.131383E+02    0.517820E-02    0.530431E-02   -0.713468E+00   -0.397997E-01
      0.133303E+02    0.419877E-02    0.427866E-02   -0.700577E+00   -0.319102E-01
      0.135232E+02    0.339147E-02    0.340598E-02   -0.686788E+00   -0.252794E-01
      0.137172E+02    0.272894E-02    0.267689E-02   -0.672171E+00   -0.197813E-01
      0.139122E+02    0.218757E-02    0.207853E-02   -0.656800E+00   -0.152846E-01
      0.141081E+02    0.174712E-02    0.159565E-02   -0.640750E+00   -0.116580E-01
      0.143050E+02    0.139029E-02    0.121197E-02   -0.624096E+00   -0.877443E-02
      0.145028E+02    0.110245E-02    0.601722E-03   -0.606914E+00   -0.651472E-02
      0.147016E+02    0.871226E-03    0.760596E-03   -0.589279E+00   -0.476987E-02
      0.149012E+02    0.686254E-03    0.679204E-03   -0.571265E+00   -0.344273E-02
      0.151018E+02    0.538889E-03    0.545645E-03   -0.552947E+00   -0.244870E-02
      0.153032E+02    0.421956E-03    0.421767E-03   -0.534395E+00   -0.171574E-02
      0.155056E+02    0.329537E-03    0.322811E-03   -0.515681E+00   -0.118385E-02
      0.157088E+02    0.256772E-03    0.248279E-03   -0.496872E+00   -0.804112E-03
      0.159128E+02    0.199696E-03    0.193415E-03   -0.478033E+00   -0.537472E-03
      0.161177E+02    0.155085E-03    0.153150E-03   -0.459226E+00   -0.353390E-03
      0.163235E+02    0.120336E-03    0.123182E-03   -0.440509E+00   -0.228483E-03
      0.165300E+02    0.933546E-04    0.100023E-03   -0.421940E+00   -0.145209E-03
      0.167374E+02    0.724663E-04    0.806548E-04   -0.403569E+00   -0.906792E-04
      0.169455E+02    0.563371E-04    0.619657E-04   -0.385444E+00   -0.556205E-04
      0.171545E+02    0.439104E-04    0.398115E-04   -0.367611E+00   -0.334972E-04
      0.173642E+02    0.343528E-04    0.724551E-05   -0.350109E+00   -0.197998E-04
      0.175747E+02    0.270104E-04   -0.492765E-04   -0.332976E+00   -0.114822E-04
      0.177860E+02    0.213723E-04   -0.158701E-03   -0.316243E+00   -0.653028E-05
      0.179980E+02    0.170412E-04    0.307164E-06   -0.299941E+00   -0.364089E-05
      0.182108E+02    0.137095E-04    0.783410E-06   -0.284093E+00   -0.198921E-05
      0.184242E+02    0.111400E-04    0.183946E-05   -0.268722E+00   -0.106458E-05
      0.186384E+02    0.915060E-05    0.392739E-05   -0.253845E+00   -0.557856E-06
      0.188533E+02    0.760205E-05    0.749343E-05   -0.239476E+00   -0.286114E-06
      0.190690E+02    0.638828E-05    0.124301E-04   -0.225626E+00   -0.143565E-06
      0.192853E+02    0.542878E-05    0.170165E-04   -0.212304E+00   -0.704491E-07
      0.195023E+02    0.466263E-05    0.167929E-04   -0.199513E+00   -0.337937E-07
      0.197199E+02    0.404386E-05    0.498267E-05   -0.187257E+00   -0.158398E-07
      0.199382E+02    0.353791E-05   -0.229148E-04   -0.175535E+00   -0.725160E-08
      0.201572E+02    0.311879E-05   -0.590115E-04   -0.164343E+00   -0.324119E-08
      0.203769E+02    0.276701E-05   -0.716241E-04   -0.153677E+00   -0.141376E-08
      0.205971E+02    0.246795E-05   -0.461166E-05   -0.143530E+00   -0.601538E-09
      0.208181E+02    0.221063E-05    0.199445E-03   -0.133893E+00   -0.249561E-09
      0.210396E+02    0.198680E-05    0.554454E-03   -0.124756E+00   -0.100909E-09
      0.212617E+02    0.179022E-05    0.993167E-03   -0.116107E+00   -0.397496E-10
      0.214845E+02    0.161614E-05    0.137649E-02   -0.107933E+00   -0.152473E-10
      0.217079E+02    0.146093E-05    0.145434E-05   -0.100220E+00   -0.569272E-11
      0.219318E+02    0.132178E-05    0.132157E-05   -0.929535E-01   -0.206785E-11
      0.221563E+02    0.119648E-05    0.119714E-05   -0.861181E-01   -0.730464E-12
      0.223815E+02    0.108328E-05    0.108318E-05   -0.796977E-01   -0.250820E-12
      0.226072E+02    0.980770E-06    0.980297E-06   -0.736759E-01   -0.836783E-13
      0.228334E+02    0.887769E-06    0.887738E-06   -0.680361E-01   -0.271115E-13
      0.230602E+02    0.803301E-06    0.803767E-06   -0.627615E-01   -0.852682E-14
      0.232876E+02    0.726533E-06    0.726158E-06   -0.578352E-01   -0.260204E-14
      0.235155E+02    0.656742E-06    0.652699E-06   -0.532405E-01   -0.770074E-15
      0.237439E+02    0.593293E-06    0.581632E-06   -0.489609E-01   -0.220924E-15
      0.239729E+02    0.535622E-06    0.511943E-06   -0.449799E-01   -0.614104E-16
      0.242024E+02    0.483225E-06    0.443473E-06   -0.412815E-01   -0.165321E-16
      0.244324E+02    0.435643E-06    0.376834E-06   -0.378500E-01   -0.430820E-17
      0.246630E+02    0.392461E-06    0.313194E-06   -0.346701E-01   -0.108628E-17
      0.248940E+02    0.353298E-06    0.253967E-06   -0.317269E-01   -0.264884E-18
      0.251255E+02    0.317808E-06    0.200495E-06   -0.290062E-01   -0.624360E-19
      0.253575E+02    0.285670E-06    0.153836E-06   -0.264940E-01   -0.142191E-19
      0.255901E+02    0.256592E-06    0.114544E-06   -0.241771E-01   -0.312720E-20
      0.258230E+02    0.230303E-06    0.826578E-07   -0.220427E-01   -0.663862E-21
      0.260565E+02    0.206556E-06    0.577425E-07   -0.200788E-01   -0.135965E-21
      0.262905E+02    0.185123E-06    0.390090E-07   -0.182736E-01   -0.268532E-22
      0.265249E+02    0.165794E-06    0.254616E-07   -0.166162E-01   -0.511173E-23
      0.267597E+02    0.148378E-06    0.160428E-07   -0.150960E-01   -0.937415E-24
      0.269950E+02    0.132697E-06    0.974959E-08   -0.137033E-01   -0.165529E-24
      0.272308E+02    0.118591E-06    0.571031E-08   -0.124286E-01   -0.281307E-25
      0.274670E+02    0.105911E-06    0.322076E-08   -0.112631E-01   -0.459870E-26
      0.277037E+02    0.945220E-07    0.174803E-08   -0.101986E-01   -0.722808E-27
      0.279407E+02    0.843012E-07    0.912215E-09   -0.922719E-02   -0.109176E-27
      0.281782E+02    0.751357E-07    0.457375E-09   -0.834167E-02   -0.158390E-28
      0.284162E+02    0.669227E-07    0.220162E-09   -0.753520E-02   -0.220602E-29
      0.286545E+02    0.595689E-07    0.101664E-09   -0.680141E-02   -0.294816E-30
      0.288933E+02    0.529893E-07    0.450005E-10   -0.613438E-02   -0.377864E-31
      0.291324E+02    0.471066E-07    0.190786E-10   -0.552857E-02   -0.464236E-32
      0.293720E+02    0.418510E-07    0.774127E-11   -0.497888E-02   -0.546440E-33
      0.296120E+02    0.371588E-07    0.300379E-11   -0.448054E-02   -0.615918E-34
      0.298524E+02    0.329727E-07    0.111370E-11   -0.402915E-02   -0.664445E-35
      0.300931E+02    0.292407E-07    0.394233E-12   -0.362063E-02   -0.685687E-36
      0.303343E+02    0.259157E-07    0.133128E-12   -0.325123E-02   -0.676550E-37
      0.305758E+02    0.229555E-07    0.428503E-13   -0.291748E-02   -0.637907E-38
      0.308177E+02    0.203216E-07    0.131355E-13   -0.261619E-02   -0.574476E-39
      0.310600E+02    0.179798E-07    0.383157E-14   -0.234441E-02   -0.493876E-40
      0.313026E+02    0.158989E-07    0.106262E-14   -0.209946E-02   -0.405107E-41
      0.315456E+02    0.140510E-07    0.279947E-15   -0.187886E-02   -0.316882E-42
      0.317890E+02    0.124112E-07    0.699994E-16   -0.168033E-02   -0.236253E-43
      0.320327E+02    0.109568E-07    0.165979E-16   -0.150181E-02   -0.167794E-44
      0.322768E+02    0.966765E-08    0.372884E-17   -0.134141E-02   -0.113467E-45
      0.325212E+02    0.852573E-08    0.792992E-18   -0.119738E-02   -0.730166E-47
      0.327660E+02    0.751479E-08    0.159497E-18   -0.106815E-02   -0.446898E-48
      0.330111E+02    0.662033E-08    0.303134E-19   -0.952287E-03   -0.260013E-49
      0.332566E+02    0.582939E-08    0.543906E-20   -0.848478E-03   -0.143732E-50
      0.335024E+02    0.513038E-08    0.920502E-21   -0.755534E-03   -0.754478E-52
      0.337485E+02    0.451297E-08    0.146805E-21   -0.672375E-03   -0.375877E-53
      0.339950E+02    0.396793E-08    0.220431E-22   -0.598021E-03   -0.177630E-54
      0.342418E+02    0.348704E-08    0.311330E-23   -0.531583E-03   -0.795841E-56
      0.344889E+02    0.306298E-08    0.413218E-24   -0.472259E-03   -0.337861E-57
      0.347363E+02    0.268923E-08    0.514925E-25   -0.419321E-03   -0.135838E-58
      0.349840E+02    0.236000E-08    0.601877E-26   -0.372111E-03   -0.516934E-60
      0.352321E+02    0.207013E-08    0.659264E-27   -0.330036E-03   -0.186100E-61
      0.354804E+02    0.181504E-08    0.676066E-28   -0.292561E-03   -0.633462E-63
      0.357291E+02    0.159068E-08    0.648460E-29   -0.259204E-03   -0.203759E-64
      0.359780E+02    0.139345E-08    0.581201E-30   -0.229529E-03   -0.619016E-66
      0.362273E+02    0.122014E-08    0.486297E-31   -0.203146E-03   -0.177515E-67
      0.364768E+02    0.106792E-08    0.379481E-32   -0.179704E-03   -0.480261E-69
      0.367267E+02    0.934304E-09    0.275913E-33   -0.158886E-03   -0.122515E-70
      0.369768E+02    0.817063E-09    0.186735E-34   -0.140410E-03   -0.294535E-72
      0.372272E+02    0.714239E-09    0.117524E-35   -0.124022E-03   -0.666921E-74
      0.374779E+02    0.624101E-09    0.687146E-37   -0.109492E-03   -0.142155E-75
      0.377289E+02    0.545119E-09    0.372878E-38   -0.966190E-04   -0.285077E-77
      0.379802E+02    0.475943E-09    0.187609E-39   -0.852186E-04   -0.537566E-79
      0.382317E+02    0.415383E-09    0.874332E-41   -0.751282E-04   -0.952637E-81
      0.384835E+02    0.362388E-09    0.377056E-42   -0.662018E-04   -0.158566E-82
      0.387356E+02    0.316034E-09    0.150317E-43   -0.583094E-04   -0.247761E-84
      0.389880E+02    0.275504E-09    0.553414E-45   -0.513347E-04   -0.363208E-86
      0.392406E+02    0.240083E-09    0.187973E-46   -0.451741E-04   -0.499269E-88
      0.394935E+02    0.209138E-09    0.588447E-48   -0.397353E-04   -0.643169E-90
      0.397466E+02    0.182116E-09    0.169609E-49   -0.349361E-04   -0.776038E-92
      0.400000E+02    0.158528E-09    0.449654E-51   -0.307033E-04   -0.876523E-94
      0.402536E+02    0.137946E-09    0.109536E-52   -0.269719E-04   -0.926235E-96
      0.405075E+02    0.119995E-09    0.244929E-54   -0.236841E-04   -0.915187E-98
      0.407617E+02    0.104343E-09    0.502213E-56   -0.207884E-04   -0.845053-100
      0.410161E+02    0.907014E-10    0.943306E-58   -0.182393E-04   -0.728781-102
      0.412707E+02    0.788168E-10    0.162140E-59   -0.159963E-04   -0.586681-104
      0.415256E+02    0.684666E-10    0.254773E-61   -0.140235E-04   -0.440607-106
      0.417807E+02    0.594559E-10    0.365589E-63   -0.122892E-04   -0.308530-108
      0.420361E+02    0.516142E-10    0.478587E-65   -0.107652E-04   -0.201323-110
      0.422917E+02    0.447922E-10    0.570961E-67   -0.942660E-05   -0.122346-112
      0.425475E+02    0.388593E-10    0.620123E-69   -0.825133E-05   -0.692047-115
      0.428036E+02    0.337012E-10    0.612524E-71   -0.721991E-05   -0.364154-117
      0.430599E+02    0.292177E-10    0.549652E-73   -0.631512E-05   -0.178151-119
      0.433164E+02    0.253214E-10    0.447628E-75   -0.552174E-05   -0.809826-122
      0.435732E+02    0.219352E-10    0.330488E-77   -0.482635E-05   -0.341861-124
      0.438301E+02    0.189913E-10    0.220976E-79   -0.421710E-05   -0.133939-126
      0.440873E+02    0.164293E-10    0.133669E-81   -0.368354E-05   -0.486762-129
      0.443447E+02    0.141942E-10    0.730718E-84   -0.321647E-05   -0.163993-131
      0.446024E+02    0.122348E-10    0.360616E-86   -0.280777E-05   -0.511896-134
      0.448602E+02    0.105004E-10    0.160492E-88   -0.245031E-05   -0.147956-136
      0.451183E+02    0.893640E-11    0.643453E-91   -0.213780E-05   -0.395757-139
      0.453765E+02    0.747784E-11    0.232150E-93   -0.186472E-05   -0.979068-142
      0.456350E+02    0.603818E-11    0.752917E-96   -0.162620E-05   -0.223890-144
      0.458937E+02    0.449090E-11    0.219274E-98   -0.141798E-05   -0.472978-147
      0.461526E+02    0.263841E-11    0.572824-101   -0.123632E-05   -0.922521-150
      0.464117E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
