 
  EnergyXF(  1s(m=  0))=  -12.4951489387        12.5048517276       -25.0000006663 Int_Ort=         1.00000
    Energy(L= 55,ML= 0)=  -12.3811020687        12.3695997703       -24.7507018390 Int_Ort= 0.9998319432061
    Energy(L= 56,ML= 0)=  -12.3867015690        12.3760840609       -24.7627856299 Int_Ort= 0.9998457941414
    Energy(L= 57,ML= 0)=  -12.3919542585        12.3821553405       -24.7741095989 Int_Ort= 0.9998583055626
    Energy(L= 58,ML= 0)=  -12.3968862809        12.3878455770       -24.7847318578 Int_Ort= 0.9998696255473
    Energy(L= 59,ML= 0)=  -12.4015214772        12.3931838551       -24.7947053323 Int_Ort= 0.9998798838431
    Energy(L= 60,ML= 0)=  -12.4058816160        12.3981966688       -24.8040782849 Int_Ort= 0.9998891943660
    Energy(L= 61,ML= 0)=  -12.4099865985        12.4029081825       -24.8128947810 Int_Ort= 0.9998976573298
    Energy(L= 62,ML= 0)=  -12.4138546403        12.4073404626       -24.8211951029 Int_Ort= 0.9999053610641
    Energy(L= 63,ML= 0)=  -12.4175024339        12.4115136864       -24.8290161203 Int_Ort= 0.9999123835739
    Energy(L= 64,ML= 0)=  -12.4209452938        12.4154463266       -24.8363916204 Int_Ort= 0.9999187938733
    Energy(L= 65,ML= 0)=  -12.4241972855        12.4191553161       -24.8433526016 Int_Ort= 0.9999246531321
    Energy(L= 66,ML= 0)=  -12.4272713423        12.4226561936       -24.8499275359 Int_Ort= 0.9999300156604
    Energy(L= 67,ML= 0)=  -12.4301793689        12.4259632323       -24.8561426012 Int_Ort= 0.9999349297559
    Energy(L= 68,ML= 0)=  -12.4329323350        12.4290895573       -24.8620218923 Int_Ort= 0.9999394384397
    Energy(L= 69,ML= 0)=  -12.4355403587        12.4320472505       -24.8675876092 Int_Ort= 0.9999435800937
    Energy(L= 70,ML= 0)=  -12.4380127831        12.4348474441       -24.8728602272 Int_Ort= 0.9999473890128
    Energy(L= 71,ML= 0)=  -12.4403582421        12.4375004074       -24.8778586495 Int_Ort= 0.9999508958880
    Energy(L= 72,ML= 0)=  -12.4425847244        12.4400156236       -24.8826003480 Int_Ort= 0.9999541282273
    Energy(L= 73,ML= 0)=  -12.4446996254        12.4424018600       -24.8871014854 Int_Ort= 0.9999571107224
    Energy(L= 74,ML= 0)=  -12.4467098015        12.4446672279       -24.8913770294 Int_Ort= 0.9999598655662
    Energy(L= 75,ML= 0)=  -12.4486216132        12.4468192379       -24.8954408511 Int_Ort= 0.9999624127313
    Energy(L= 76,ML= 0)=  -12.4504409634        12.4488648487       -24.8993058121 Int_Ort= 0.9999647702143
    Energy(L= 77,ML= 0)=  -12.4521733413        12.4508105143       -24.9029838555 Int_Ort= 0.9999669542531
