        Distance           1s              1s              2p              2p              2p              2p
      0.781082E-05    0.174648E-03    0.174650E-03    0.696151E-09    0.696155E-09    0.696151E-09    0.696155E-09
      0.812958E-05    0.181776E-03    0.181777E-03    0.754131E-09    0.754135E-09    0.754131E-09    0.754135E-09
      0.846135E-05    0.189194E-03    0.189196E-03    0.816939E-09    0.816944E-09    0.816939E-09    0.816944E-09
      0.880667E-05    0.196914E-03    0.196917E-03    0.884979E-09    0.884984E-09    0.884979E-09    0.884984E-09
      0.916607E-05    0.204950E-03    0.204952E-03    0.958685E-09    0.958691E-09    0.958685E-09    0.958691E-09
      0.954015E-05    0.213314E-03    0.213316E-03    0.103853E-08    0.103854E-08    0.103853E-08    0.103854E-08
      0.992949E-05    0.222019E-03    0.222021E-03    0.112503E-08    0.112503E-08    0.112503E-08    0.112503E-08
      0.103347E-04    0.231079E-03    0.231082E-03    0.121872E-08    0.121873E-08    0.121872E-08    0.121873E-08
      0.107565E-04    0.240509E-03    0.240512E-03    0.132023E-08    0.132023E-08    0.132023E-08    0.132023E-08
      0.111955E-04    0.250324E-03    0.250327E-03    0.143018E-08    0.143019E-08    0.143018E-08    0.143019E-08
      0.116524E-04    0.260539E-03    0.260542E-03    0.154930E-08    0.154930E-08    0.154930E-08    0.154930E-08
      0.121279E-04    0.271172E-03    0.271175E-03    0.167833E-08    0.167834E-08    0.167833E-08    0.167834E-08
      0.126228E-04    0.282238E-03    0.282241E-03    0.181811E-08    0.181812E-08    0.181811E-08    0.181812E-08
      0.131380E-04    0.293755E-03    0.293758E-03    0.196953E-08    0.196954E-08    0.196953E-08    0.196954E-08
      0.136742E-04    0.305743E-03    0.305746E-03    0.213357E-08    0.213358E-08    0.213357E-08    0.213358E-08
      0.142322E-04    0.318219E-03    0.318223E-03    0.231126E-08    0.231127E-08    0.231126E-08    0.231127E-08
      0.148130E-04    0.331205E-03    0.331209E-03    0.250376E-08    0.250377E-08    0.250376E-08    0.250377E-08
      0.154176E-04    0.344721E-03    0.344725E-03    0.271228E-08    0.271230E-08    0.271228E-08    0.271230E-08
      0.160468E-04    0.358788E-03    0.358792E-03    0.293817E-08    0.293819E-08    0.293817E-08    0.293819E-08
      0.167017E-04    0.373429E-03    0.373433E-03    0.318288E-08    0.318290E-08    0.318288E-08    0.318290E-08
      0.173833E-04    0.388668E-03    0.388672E-03    0.344797E-08    0.344798E-08    0.344797E-08    0.344798E-08
      0.180927E-04    0.404528E-03    0.404532E-03    0.373513E-08    0.373515E-08    0.373513E-08    0.373515E-08
      0.188311E-04    0.421036E-03    0.421040E-03    0.404621E-08    0.404623E-08    0.404621E-08    0.404623E-08
      0.195996E-04    0.438217E-03    0.438221E-03    0.438320E-08    0.438322E-08    0.438320E-08    0.438322E-08
      0.203994E-04    0.456099E-03    0.456104E-03    0.474825E-08    0.474828E-08    0.474825E-08    0.474828E-08
      0.212320E-04    0.474710E-03    0.474716E-03    0.514371E-08    0.514373E-08    0.514371E-08    0.514373E-08
      0.220984E-04    0.494082E-03    0.494087E-03    0.557210E-08    0.557213E-08    0.557210E-08    0.557213E-08
      0.230003E-04    0.514243E-03    0.514248E-03    0.603616E-08    0.603620E-08    0.603616E-08    0.603620E-08
      0.239389E-04    0.535227E-03    0.535233E-03    0.653888E-08    0.653892E-08    0.653888E-08    0.653892E-08
      0.249159E-04    0.557067E-03    0.557073E-03    0.708347E-08    0.708350E-08    0.708347E-08    0.708350E-08
