        Distance           1s              1s              2p              2p              2p              2p
      0.781082E-05    0.162750E-03    0.162749E-03    0.199953E-09    0.200004E-09    0.199953E-09    0.200004E-09
      0.812958E-05    0.169392E-03    0.169391E-03    0.216607E-09    0.216661E-09    0.216607E-09    0.216661E-09
      0.846135E-05    0.176304E-03    0.176304E-03    0.234647E-09    0.234706E-09    0.234647E-09    0.234706E-09
      0.880667E-05    0.183499E-03    0.183498E-03    0.254190E-09    0.254254E-09    0.254190E-09    0.254254E-09
      0.916607E-05    0.190988E-03    0.190987E-03    0.275360E-09    0.275430E-09    0.275360E-09    0.275430E-09
      0.954015E-05    0.198781E-03    0.198781E-03    0.298294E-09    0.298369E-09    0.298294E-09    0.298369E-09
      0.992949E-05    0.206894E-03    0.206893E-03    0.323138E-09    0.323219E-09    0.323138E-09    0.323219E-09
      0.103347E-04    0.215337E-03    0.215336E-03    0.350050E-09    0.350139E-09    0.350050E-09    0.350139E-09
      0.107565E-04    0.224124E-03    0.224123E-03    0.379205E-09    0.379300E-09    0.379205E-09    0.379300E-09
      0.111955E-04    0.233270E-03    0.233269E-03    0.410787E-09    0.410891E-09    0.410787E-09    0.410891E-09
      0.116524E-04    0.242790E-03    0.242788E-03    0.445000E-09    0.445112E-09    0.445000E-09    0.445112E-09
      0.121279E-04    0.252697E-03    0.252696E-03    0.482062E-09    0.482183E-09    0.482062E-09    0.482183E-09
      0.126228E-04    0.263010E-03    0.263008E-03    0.522210E-09    0.522342E-09    0.522210E-09    0.522342E-09
      0.131380E-04    0.273742E-03    0.273741E-03    0.565703E-09    0.565846E-09    0.565703E-09    0.565846E-09
      0.136742E-04    0.284913E-03    0.284912E-03    0.612818E-09    0.612972E-09    0.612818E-09    0.612972E-09
      0.142322E-04    0.296540E-03    0.296539E-03    0.663856E-09    0.664024E-09    0.663856E-09    0.664024E-09
      0.148130E-04    0.308641E-03    0.308640E-03    0.719146E-09    0.719327E-09    0.719146E-09    0.719327E-09
      0.154176E-04    0.321236E-03    0.321234E-03    0.779040E-09    0.779237E-09    0.779040E-09    0.779237E-09
      0.160468E-04    0.334345E-03    0.334343E-03    0.843923E-09    0.844136E-09    0.843923E-09    0.844136E-09
      0.167017E-04    0.347988E-03    0.347987E-03    0.914209E-09    0.914439E-09    0.914209E-09    0.914439E-09
      0.173833E-04    0.362189E-03    0.362187E-03    0.990349E-09    0.990599E-09    0.990349E-09    0.990599E-09
      0.180927E-04    0.376969E-03    0.376967E-03    0.107283E-08    0.107310E-08    0.107283E-08    0.107310E-08
      0.188311E-04    0.392352E-03    0.392350E-03    0.116218E-08    0.116247E-08    0.116218E-08    0.116247E-08
      0.195996E-04    0.408362E-03    0.408360E-03    0.125897E-08    0.125929E-08    0.125897E-08    0.125929E-08
      0.203994E-04    0.425026E-03    0.425024E-03    0.136383E-08    0.136417E-08    0.136383E-08    0.136417E-08
      0.212320E-04    0.442370E-03    0.442368E-03    0.147741E-08    0.147778E-08    0.147741E-08    0.147778E-08
      0.220984E-04    0.460421E-03    0.460419E-03    0.160046E-08    0.160086E-08    0.160046E-08    0.160086E-08
      0.230003E-04    0.479209E-03    0.479207E-03    0.173375E-08    0.173419E-08    0.173375E-08    0.173419E-08
      0.239389E-04    0.498763E-03    0.498761E-03    0.187814E-08    0.187862E-08    0.187814E-08    0.187862E-08
      0.249159E-04    0.519116E-03    0.519113E-03    0.203456E-08    0.203508E-08    0.203456E-08    0.203508E-08
      0.259327E-04    0.540298E-03    0.540296E-03    0.220401E-08    0.220456E-08    0.220401E-08    0.220456E-08
      0.269911E-04    0.562345E-03    0.562343E-03    0.238757E-08    0.238817E-08    0.238757E-08    0.238817E-08
      0.280926E-04    0.585292E-03    0.585289E-03    0.258641E-08    0.258706E-08    0.258641E-08    0.258706E-08
      0.292391E-04    0.609174E-03    0.609172E-03    0.280182E-08    0.280252E-08    0.280182E-08    0.280252E-08
