
            r               1s              2p
        0.0000512   0.4737789E-03   0.1115339E-08
        0.0000532   0.4931006E-03   0.1208177E-08
        0.0000554   0.5132098E-03   0.1308741E-08
        0.0000577   0.5341384E-03   0.1417672E-08
        0.0000600   0.5559199E-03   0.1535667E-08
        0.0000625   0.5785888E-03   0.1663480E-08
        0.0000650   0.6021813E-03   0.1801926E-08
        0.0000677   0.6267349E-03   0.1951891E-08
        0.0000704   0.6522888E-03   0.2114331E-08
        0.0000733   0.6788836E-03   0.2290284E-08
        0.0000763   0.7065617E-03   0.2480874E-08
        0.0000794   0.7353669E-03   0.2687317E-08
        0.0000827   0.7653453E-03   0.2910930E-08
        0.0000860   0.7965444E-03   0.3153142E-08
        0.0000895   0.8290138E-03   0.3415497E-08
        0.0000932   0.8628051E-03   0.3699670E-08
        0.0000970   0.8979720E-03   0.4007473E-08
        0.0001009   0.9345704E-03   0.4340870E-08
        0.0001051   0.9726584E-03   0.4701987E-08
        0.0001093   0.1012296E-02   0.5093127E-08
        0.0001138   0.1053547E-02   0.5516784E-08
        0.0001184   0.1096477E-02   0.5975657E-08
        0.0001233   0.1141152E-02   0.6472672E-08
        0.0001283   0.1187645E-02   0.7010995E-08
        0.0001335   0.1236029E-02   0.7594056E-08
        0.0001389   0.1286381E-02   0.8225569E-08
        0.0001446   0.1338779E-02   0.8909554E-08
        0.0001505   0.1393308E-02   0.9650367E-08
        0.0001566   0.1450053E-02   0.1045272E-07
        0.0001630   0.1509105E-02   0.1132173E-07
        0.0001697   0.1570555E-02   0.1226291E-07
        0.0001766   0.1634502E-02   0.1328225E-07
        0.0001838   0.1701047E-02   0.1438624E-07
        0.0001912   0.1770294E-02   0.1558189E-07
        0.0001990   0.1842353E-02   0.1687679E-07
        0.0002071   0.1917336E-02   0.1827919E-07
        0.0002156   0.1995363E-02   0.1979797E-07
        0.0002244   0.2076556E-02   0.2144279E-07
        0.0002335   0.2161043E-02   0.2322408E-07
        0.0002430   0.2248956E-02   0.2515314E-07
        0.0002529   0.2340434E-02   0.2724221E-07
        0.0002632   0.2435619E-02   0.2950452E-07
        0.0002739   0.2534662E-02   0.3195442E-07
        0.0002850   0.2637718E-02   0.3460741E-07
        0.0002966   0.2744947E-02   0.3748030E-07
        0.0003087   0.2856517E-02   0.4059126E-07
        0.0003213   0.2972604E-02   0.4395997E-07
        0.0003343   0.3093387E-02   0.4760772E-07
        0.0003479   0.3219056E-02   0.5155757E-07
        0.0003621   0.3349806E-02   0.5583445E-07
        0.0003768   0.3485840E-02   0.6046537E-07
        0.0003921   0.3627370E-02   0.6547952E-07
        0.0004080   0.3774616E-02   0.7090852E-07
        0.0004246   0.3927806E-02   0.7678656E-07
        0.0004419   0.4087176E-02   0.8315066E-07
        0.0004598   0.4252974E-02   0.9004086E-07
        0.0004785   0.4425456E-02   0.9750046E-07
        0.0004979   0.4604887E-02   0.1055763E-06
        0.0005181   0.4791544E-02   0.1143192E-06
        0.0005392   0.4985714E-02   0.1237838E-06
        0.0005611   0.5187694E-02   0.1340295E-06
        0.0005838   0.5397794E-02   0.1451206E-06
        0.0006075   0.5616335E-02   0.1571262E-06
        0.0006321   0.5843651E-02   0.1701216E-06
        0.0006578   0.6080089E-02   0.1841877E-06
        0.0006844   0.6326007E-02   0.1994125E-06
        0.0007122   0.6581779E-02   0.2158906E-06
        0.0007410   0.6847792E-02   0.2337247E-06
        0.0007710   0.7124448E-02   0.2530257E-06
        0.0008022   0.7412163E-02   0.2739133E-06
        0.0008347   0.7711371E-02   0.2965172E-06
        0.0008685   0.8022520E-02   0.3209773E-06
        0.0009036   0.8346075E-02   0.3474448E-06
        0.0009401   0.8682520E-02   0.3760834E-06
        0.0009781   0.9032353E-02   0.4070696E-06
        0.0010176   0.9396094E-02   0.4405943E-06
        0.0010587   0.9774281E-02   0.4768635E-06
