
            r               1s              2p
       20.7849570   0.6685505E-07   0.2245384E-02
       21.0061169   0.5972787E-07   0.2049308E-02
       21.2278982   0.5334412E-07   0.1869465E-02
       21.4502929   0.4762825E-07   0.1704605E-02
       21.6732933   0.4251213E-07   0.1553564E-02
       21.8968918   0.3793437E-07   0.1415259E-02
       22.1210809   0.3383968E-07   0.1288684E-02
       22.3458531   0.3017830E-07   0.1172907E-02
       22.5712012   0.2690542E-07   0.1067061E-02
       22.7971180   0.2398075E-07   0.9703454E-03
       23.0235964   0.2136809E-07   0.8820171E-03
       23.2506295   0.1903486E-07   0.8013894E-03
       23.4782104   0.1695182E-07   0.7278274E-03
       23.7063324   0.1509271E-07   0.6607449E-03
       23.9349888   0.1343396E-07   0.5996005E-03
       24.1641732   0.1195440E-07   0.5438953E-03
       24.3938790   0.1063507E-07   0.4931692E-03
       24.6240999   0.9458954E-08   0.4469986E-03
       24.8548298   0.8410805E-08   0.4049937E-03
       25.0860623   0.7476963E-08   0.3667958E-03
       25.3177916   0.6645193E-08   0.3320756E-03
       25.5500115   0.5904542E-08   0.3005302E-03
       25.7827163   0.5245205E-08   0.2718820E-03
       26.0159002   0.4658411E-08   0.2458761E-03
       26.2495575   0.4136313E-08   0.2222788E-03
       26.4836826   0.3671890E-08   0.2008762E-03
       26.7182700   0.3258865E-08   0.1814724E-03
       26.9533141   0.2891616E-08   0.1638879E-03
       27.1888098   0.2565108E-08   0.1479589E-03
       27.4247516   0.2274814E-08   0.1335355E-03
       27.6611345   0.2016645E-08   0.1204807E-03
       27.8979533   0.1786867E-08   0.1086696E-03
       28.1352029   0.1582005E-08   0.9798820E-04
       28.3728785   0.1398712E-08   0.8833248E-04
       28.6109750   0.1233580E-08   0.7960767E-04
       28.8494878   0.1082848E-08   0.7172749E-04
       29.0884120   0.9419168E-09   0.6461335E-04
       29.3277431   0.8045545E-09   0.5819378E-04
       29.5674763   0.6615411E-09   0.5240379E-04
       29.8076072   0.4983592E-09   0.4718434E-04
       30.0481313   0.2912332E-09   0.4248182E-04
       30.2890441   0.0000000E+00   0.0000000E+00
